"//*[@id=""custom_html-3""]/div/ul/li[1]/ul/li[1]/a","Computer Science (Ro, En, Hu, De)"
"//*[@id=""custom_html-3""]/div/ul/li[1]/ul/li[2]/a","Mathematics Computer Science (Ro, En, Hu)"
